command,action,code,,,,,,
Step away from the forward direction,back,4,,,,,,
Reverse your movement,back,4,,,,,,
Retreat from the current position,back,4,,,,,,
Go back,back,4,,,,,,
Shift to the back,back,4,,,,,,
Move to the rear,back,4,,,,,,
Pull back,back,4,,,,,,
Move in the opposite direction from the front,back,4,,,,,,
Retreat to a previous location,back,4,,,,,,
Step in the opposite direction,back,4,,,,,,
Move in a rearward motion,back,4,,,,,,
Withdraw from the front,back,4,,,,,,
Fall behind,back,4,,,,,,
Take steps backward,back,4,,,,,,
Go in the reverse direction,back,4,,,,,,
Retreat from the current point,back,4,,,,,,
Step back from the current position,back,4,,,,,,
Move toward the rear,back,4,,,,,,
Shift away from the front,back,4,,,,,,
Go in a backward trajectory,back,4,,,,,,
Withdraw yourself,back,4,,,,,,
Take a step away from the forward direction,back,4,,,,,,
Move in the opposite path,back,4,,,,,,
Retreat along the path,back,4,,,,,,
Step back from the current location,back,4,,,,,,
Go back from the current point,back,4,,,,,,
Move in a rearward direction,back,4,,,,,,
Draw away from the front,back,4,,,,,,
Step backward on the path,back,4,,,,,,
Retreat to a preceding point,back,4,,,,,,
Move away from the forward trajectory,back,4,,,,,,
Go in the opposite way,back,4,,,,,,
Retreat to a previous spot,back,4,,,,,,
Move in the direction opposite to forward,back,4,,,,,,
Fall back from the current position,back,4,,,,,,
Withdraw to a prior location,back,4,,,,,,
Take steps in a backward motion,back,4,,,,,,
Move in the reverse trajectory,back,4,,,,,,
Step back to a previous spot,back,4,,,,,,
Go away from the front,back,4,,,,,,
Retreat from the current spot,back,4,,,,,,
Move in a rearward trajectory,back,4,,,,,,
Retreat along the route,back,4,,,,,,
Shift backward from the current location,back,4,,,,,,
Step away from the forward trajectory,back,4,,,,,,
Move in the opposite course,back,4,,,,,,
Withdraw to a preceding point,back,4,,,,,,
Go back from the current place,back,4,,,,,,
Retreat to a former location,back,4,,,,,,
Move in a backward path,back,4,,,,,,
Step back from the present position,back,4,,,,,,
Go in the reverse course,back,4,,,,,,
Move to the rear from the current point,back,4,,,,,,
Retreat from the current spot,back,4,,,,,,
Withdraw to a prior spot,back,4,,,,,,
Take steps in the opposite direction,back,4,,,,,,
Move away from the front direction,back,4,,,,,,
Retreat along the route taken,back,4,,,,,,
Step backward on the path traveled,back,4,,,,,,
Go back to a previous point,back,4,,,,,,
Move in a rearward motion,back,4,,,,,,
Retreat to a former point,back,4,,,,,,
Fall back from the present position,back,4,,,,,,
Withdraw to a preceding spot,back,4,,,,,,
Take steps in the reverse direction,back,4,,,,,,
Move in the opposite way from forward,back,4,,,,,,
Retreat along the course traveled,back,4,,,,,,
Step back to a former spot,back,4,,,,,,
Go away from the forward trajectory,back,4,,,,,,
Move in the reverse path,back,4,,,,,,
Sidestep to the left,left,5,,,,,,
Veer toward the left side,left,5,,,,,,
Glide leftward,left,5,,,,,,
Steer in a leftward direction,left,5,,,,,,
Shift your position to the left,left,5,,,,,,
Move in a leftward motion,left,5,,,,,,
Slide to the left,left,5,,,,,,
Lean to the left,left,5,,,,,,
Adjust your course to the left,left,5,,,,,,
Veer left,left,5,,,,,,
Maneuver towards the left,left,5,,,,,,
Tilt left,left,5,,,,,,
Direct yourself to the left,left,5,,,,,,
Shift horizontally to the left,left,5,,,,,,
Adjust your alignment to the left,left,5,,,,,,
Turn leftward,left,5,,,,,,
Guide your movement to the left,left,5,,,,,,
Head left,left,5,,,,,,
Navigate to the left side,left,5,,,,,,
Offset your position to the left,left,5,,,,,,
Progress towards the left,left,5,,,,,,
Veer off to the left,left,5,,,,,,
Align yourself to the left,left,5,,,,,,
Lean in a leftward direction,left,5,,,,,,
Steer left,left,5,,,,,,
Progress leftward,left,5,,,,,,
Glide towards the left side,left,5,,,,,,
Maneuver left,left,5,,,,,,
Shift laterally to the left,left,5,,,,,,
Adjust your heading to the left,left,5,,,,,,
Tilt in a leftward manner,left,5,,,,,,
Turn in the left direction,left,5,,,,,,
Direct your movement to the left,left,5,,,,,,
Move horizontally to the left,left,5,,,,,,
Slide leftward,left,5,,,,,,
Guide yourself to the left,left,5,,,,,,
Offset to the left side,left,5,,,,,,
Veer your trajectory leftward,left,5,,,,,,
Shift towards the left side,left,5,,,,,,
Lean left,left,5,,,,,,
Adjust your position to the left,left,5,,,,,,
Navigate leftward,left,5,,,,,,
Maneuver in a leftward direction,left,5,,,,,,
Head in a leftward trajectory,left,5,,,,,,
Glide to the left side,left,5,,,,,,
Progress in a leftward motion,left,5,,,,,,
Turn towards the left side,left,5,,,,,,
Steer in a leftward manner,left,5,,,,,,
Move leftward on the path,left,5,,,,,,
Tilt to the left side,left,5,,,,,,
Shift your course to the left,left,5,,,,,,
Slide laterally to the left,left,5,,,,,,
Veer left on your route,left,5,,,,,,
Guide your trajectory to the left side,left,5,,,,,,
Lean in a leftward direction,left,5,,,,,,
Adjust your heading leftward,left,5,,,,,,
Turn in the direction of the left,left,5,,,,,,
Progress in a leftward trajectory,left,5,,,,,,
Maneuver left on the path,left,5,,,,,,
Shift your alignment to the left,left,5,,,,,,
Glide to the left on your course,left,5,,,,,,
Navigate in the leftward direction,left,5,,,,,,
Move in a leftward motion on the path,left,5,,,,,,
Steer toward the left side,left,5,,,,,,
Veer your course leftward,left,5,,,,,,
Adjust your position in a leftward manner,left,5,,,,,,
Lean towards the left side,left,5,,,,,,
Slide towards the left on your route,left,5,,,,,,
Head in a leftward trajectory,left,5,,,,,,
Tilt leftward on your path,left,5,,,,,,
Move to the left side,left,5,,,,,,
Progress in the direction of the left,left,5,,,,,,
Turn left on the route,left,5,,,,,,
Steer your movement to the left,left,5,,,,,,
Glide leftward on the path,left,5,,,,,,
Shift your trajectory to the left side,left,5,,,,,,
Navigate towards the left,left,5,,,,,,
Maneuver in a leftward direction on your course,left,5,,,,,,
Move left on your route,left,5,,,,,,
Veer towards the left side,left,5,,,,,,
Adjust your heading in a leftward manner,left,5,,,,,,
Lean left on the path,left,5,,,,,,
Turn in the leftward direction,left,5,,,,,,
Guide your movement leftward,left,5,,,,,,
Slide left on the route,left,5,,,,,,
Head towards the left side,left,5,,,,,,
Tilt your position to the left,left,5,,,,,,
Progress in a leftward trajectory on the path,left,5,,,,,,
Steer in the direction of the left side,left,5,,,,,,
Shift leftward on your course,left,5,,,,,,
Move in a leftward motion on the route,left,5,,,,,,
Veer towards the left side of the path,left,5,,,,,,
Glide to the left on the route,left,5,,,,,,
Navigate in the direction of the left,left,5,,,,,,
Maneuver leftward on the course,left,5,,,,,,
Turn towards the left side,left,5,,,,,,
Adjust your movement leftward,left,5,,,,,,
Lean left on the route,left,5,,,,,,
Slide to the left side,left,5,,,,,,
Head in a leftward direction on the path,left,5,,,,,,
Slide to the right,right,6,,,,,,
Veer toward the right side,right,6,,,,,,
Glide rightward,right,6,,,,,,
Steer in a rightward direction,right,6,,,,,,
Shift your position to the right,right,6,,,,,,
Move in a rightward motion,right,6,,,,,,
Slide to the right side,right,6,,,,,,
Lean to the right,right,6,,,,,,
Adjust your course to the right,right,6,,,,,,
Veer right,right,6,,,,,,
Maneuver towards the right,right,6,,,,,,
Tilt right,right,6,,,,,,
Direct yourself to the right,right,6,,,,,,
Shift horizontally to the right,right,6,,,,,,
Adjust your alignment to the right,right,6,,,,,,
Turn rightward,right,6,,,,,,
Guide your movement to the right,right,6,,,,,,
Head right,right,6,,,,,,
Navigate to the right side,right,6,,,,,,
Offset your position to the right,right,6,,,,,,
Progress towards the right,right,6,,,,,,
Veer off to the right,right,6,,,,,,
Align yourself to the right,right,6,,,,,,
Lean in a rightward direction,right,6,,,,,,
Steer right,right,6,,,,,,
Progress rightward,right,6,,,,,,
Glide towards the right side,right,6,,,,,,
Maneuver right,right,6,,,,,,
Shift laterally to the right,right,6,,,,,,
Adjust your heading to the right,right,6,,,,,,
Tilt in a rightward manner,right,6,,,,,,
Turn in the right direction,right,6,,,,,,
Direct your movement to the right,right,6,,,,,,
Move horizontally to the right,right,6,,,,,,
Slide rightward,right,6,,,,,,
Guide yourself to the right,right,6,,,,,,
Offset to the right side,right,6,,,,,,
Veer your trajectory rightward,right,6,,,,,,
Shift towards the right side,right,6,,,,,,
Lean right,right,6,,,,,,
Adjust your position to the right,right,6,,,,,,
Navigate rightward,right,6,,,,,,
Maneuver in a rightward direction,right,6,,,,,,
Head in a rightward trajectory,right,6,,,,,,
Glide to the right side,right,6,,,,,,
Progress in a rightward motion,right,6,,,,,,
Turn towards the right side,right,6,,,,,,
Steer in a rightward manner,right,6,,,,,,
Move rightward on the path,right,6,,,,,,
Tilt to the right side,right,6,,,,,,
Shift your course to the right,right,6,,,,,,
Slide laterally to the right,right,6,,,,,,
Veer right on your route,right,6,,,,,,
Guide your trajectory to the right side,right,6,,,,,,
Lean in a rightward direction,right,6,,,,,,
Adjust your heading rightward,right,6,,,,,,
Turn in the right direction,right,6,,,,,,
Progress in a rightward trajectory,right,6,,,,,,
Maneuver right on the path,right,6,,,,,,
Shift your alignment to the right,right,6,,,,,,
Glide to the right on your course,right,6,,,,,,
Navigate in the rightward direction,right,6,,,,,,
Move in a rightward motion on the path,right,6,,,,,,
Steer toward the right side,right,6,,,,,,
Veer your course rightward,right,6,,,,,,
Adjust your position in a rightward manner,right,6,,,,,,
Lean towards the right side,right,6,,,,,,
Slide towards the right on your route,right,6,,,,,,
Head in a rightward trajectory,right,6,,,,,,
Tilt rightward on your path,right,6,,,,,,
Move to the right side,right,6,,,,,,
Progress in the direction of the right,right,6,,,,,,
Turn right on the route,right,6,,,,,,
Steer your movement to the right,right,6,,,,,,
Glide rightward on the path,right,6,,,,,,
Shift your trajectory to the right side,right,6,,,,,,
Navigate towards the right,right,6,,,,,,
Maneuver in a rightward direction on your course,right,6,,,,,,
Move right on your route,right,6,,,,,,
Veer towards the right side,right,6,,,,,,
Adjust your heading in a rightward manner,right,6,,,,,,
Lean right on the path,right,6,,,,,,
Turn in the rightward direction,right,6,,,,,,
Guide your movement to the right,right,6,,,,,,
Slide right on the route,right,6,,,,,,
Head towards the right side,right,6,,,,,,
Tilt your position to the right,right,6,,,,,,
Progress in a rightward trajectory on the path,right,6,,,,,,
Steer in the direction of the right side,right,6,,,,,,
Shift rightward on your course,right,6,,,,,,
Move in a rightward motion on the route,right,6,,,,,,
Veer towards the right side of the path,right,6,,,,,,
Glide to the right on the route,right,6,,,,,,
Navigate in the direction of the right,right,6,,,,,,
Maneuver rightward on the course,right,6,,,,,,
Turn towards the right side,right,6,,,,,,
Adjust your movement rightward,right,6,,,,,,
Lean right on the route,right,6,,,,,,
Slide to the right side,right,6,,,,,,
Head in a rightward direction on the path,right,6,,,,,,
Don't go straight down the road,don’t_forward,15,,,,,,
Avoid proceeding in a straight line,don’t_forward,15,,,,,,
Refrain from moving forward without turning,don’t_forward,15,,,,,,
Don't continue straight ahead on this path,don’t_forward,15,,,,,,
Avoid heading directly down the street,don’t_forward,15,,,,,,
Stray from the straight and narrow,don’t_forward,15,,,,,,
Don't travel straight without any deviations,don’t_forward,15,,,,,,
Ignore following the route in a straight line,don’t_forward,15,,,,,,
Veer away from maintaining your course straight ahead,don’t_forward,15,,,,,,
Don't move as far as you can see,don’t_forward,15,,,,,,
Avoid proceeding straight along the way,don’t_forward,15,,,,,,
Don't move on the direct path,don’t_forward,15,,,,,,
Avoid keeping on the direct path,don’t_forward,15,,,,,,
Refrain from continuing forward without making any turns,don’t_forward,15,,,,,,
Don't head straight toward your destination,don’t_forward,15,,,,,,
Stray from staying on the unswerving route,don’t_forward,15,,,,,,
Avoid moving straight along the trail,don’t_forward,15,,,,,,
Don't follow the road without turning left or right,don’t_forward,15,,,,,,
Veer off from going ahead without deviating off course,don’t_forward,15,,,,,,
Refrain from moving on the straight and clear route,don’t_forward,15,,,,,,
Don't continue in a straight trajectory,don’t_forward,15,,,,,,
Avoid heading straight down the avenue,don’t_forward,15,,,,,,
Stray from staying true to the straight path,don’t_forward,15,,,,,,
Avoid moving directly towards your goal,don’t_forward,15,,,,,,
Refrain from moving on the straight route,don’t_forward,15,,,,,,
Don't proceed straightforwardly,don’t_forward,15,,,,,,
Avoid going straight on this thoroughfare,don’t_forward,15,,,,,,
Refrain from continuing along the straight road,don’t_forward,15,,,,,,
Don't head straight down the boulevard,don’t_forward,15,,,,,,
Ignore following the straight line on the map,don’t_forward,15,,,,,,
Refrain from moving in a straight line without deviation,don’t_forward,15,,,,,,
Stay off the direct course,don’t_forward,15,,,,,,
Don't go straight down the corridor,don’t_forward,15,,,,,,
Avoid proceeding straight through the intersection,don’t_forward,15,,,,,,
Refrain from moving straight ahead without hesitation,don’t_forward,15,,,,,,
Don't keep to the straight and clear road,don’t_forward,15,,,,,,
Stray from following the unbroken line ahead,don’t_forward,15,,,,,,
Avoid maintaining your course without deviations,don’t_forward,15,,,,,,
Don't move straight with confidence,don’t_forward,15,,,,,,
Refrain from continuing in a straight line without interruptions,don’t_forward,15,,,,,,
Avoid heading straight through the city,don’t_forward,15,,,,,,
Stay off the straightforward route,don’t_forward,15,,,,,,
Don't move directly towards the goal,don’t_forward,15,,,,,,
Avoid going straight past the landmarks,don’t_forward,15,,,,,,
Refrain from proceeding straight through the urban landscape,don’t_forward,15,,,,,,
Don't move forward without turning aside,don’t_forward,15,,,,,,
Stray from following the straight trail ahead,don’t_forward,15,,,,,,
Avoid heading straight across the bridge,don’t_forward,15,,,,,,
Refrain from staying on the clear path without turning,don’t_forward,15,,,,,,
Don't move in a straight line through the park,don’t_forward,15,,,,,,
Avoid continuing in a straight trajectory,don’t_forward,15,,,,,,
Refrain from going straight past the crossroads,don’t_forward,15,,,,,,
Stray from maintaining a direct course,don’t_forward,15,,,,,,
Avoid heading straight through the neighborhood,don’t_forward,15,,,,,,
Don't stay true to the straight road,don’t_forward,15,,,,,,
Refrain from moving directly along the established route,don’t_forward,15,,,,,,
Avoid following the unswerving path,don’t_forward,15,,,,,,
Don't go ahead without veering off the straight line,don’t_forward,15,,,,,,
Stray from keeping on the undeviating course,don’t_forward,15,,,,,,
Refrain from proceeding straight along the riverbank,don’t_forward,15,,,,,,
Don't move directly through the woods,don’t_forward,15,,,,,,
Avoid continuing straight without distractions,don’t_forward,15,,,,,,
Refrain from heading straight past the landmarks,don’t_forward,15,,,,,,
Don't stay on the direct route without deviation,don’t_forward,15,,,,,,
Avoid moving straightforwardly through the countryside,don’t_forward,15,,,,,,
Don't go straight towards the mountain,don’t_forward,15,,,,,,
Stray from keeping on the straight and narrow path,don’t_forward,15,,,,,,
Avoid following the straight line on the horizon,don’t_forward,15,,,,,,
Refrain from heading directly to the coastline,don’t_forward,15,,,,,,
Don't stay on the straight highway,don’t_forward,15,,,,,,
Avoid moving in a straight line through the desert,don’t_forward,15,,,,,,
Refrain from continuing straight across the plains,don’t_forward,15,,,,,,
Don't go ahead without turning in any direction,don’t_forward,15,,,,,,
Stray from keeping to the unswerving trail,don’t_forward,15,,,,,,
Avoid proceeding straight along the beach,don’t_forward,15,,,,,,
Don't head straight through the canyon,don’t_forward,15,,,,,,
Refrain from staying true to the straight street,don’t_forward,15,,,,,,
Avoid moving directly through the valley,don’t_forward,15,,,,,,
Don't go straight under the clear sky,don’t_forward,15,,,,,,
Stray from keeping on the straight course through the forest,don’t_forward,15,,,,,,
Refrain from following the unbroken line on the map,don’t_forward,15,,,,,,
Avoid maintaining your course straight ahead,don’t_forward,15,,,,,,
Don't move directly along the river,don’t_forward,15,,,,,,
Stray from continuing straight across the meadow,don’t_forward,15,,,,,,
Avoid heading straight through the wilderness,don’t_forward,15,,,,,,
Refrain from staying on the direct path to your destination,don’t_forward,15,,,,,,
Don't go straight along the seashore,don’t_forward,15,,,,,,
Stray from proceeding straightforwardly through the hills,don’t_forward,15,,,,,,
Avoid moving forward without detours,don’t_forward,15,,,,,,
Refrain from following the straight track through the city,don’t_forward,15,,,,,,
Don't head straight past the fields,don’t_forward,15,,,,,,
Avoid staying on the straight road through the countryside,don’t_forward,15,,,,,,
Stray from moving directly along the railway tracks,don’t_forward,15,,,,,,
Refrain from going straight to your final destination,don’t_forward,15,,,,,,
Avoid retreating,don’t_back,16,,,,,,
Refrain from moving rearward,don’t_back,16,,,,,,
Don't go in reverse,don’t_back,16,,,,,,
Resist backtracking,don’t_back,16,,,,,,
Avoid reversing your direction,don’t_back,16,,,,,,
Stay where you are,don’t_back,16,,,,,,
Don't step back,don’t_back,16,,,,,,
Avoid regressing,don’t_back,16,,,,,,
Refrain from moving in a backward motion,don’t_back,16,,,,,,
Resist taking a step back,don’t_back,16,,,,,,
Avoid going backward,don’t_back,16,,,,,,
Stay in your current position,don’t_back,16,,,,,,
Don't reverse course,don’t_back,16,,,,,,
Refrain from retreating backward,don’t_back,16,,,,,,
Avoid moving away from the front,don’t_back,16,,,,,,
Don't move in the opposite direction,don’t_back,16,,,,,,
Resist stepping in reverse,don’t_back,16,,,,,,
Refrain from withdrawal,don’t_back,16,,,,,,
Avoid moving towards the rear,don’t_back,16,,,,,,
Don't back away,don’t_back,16,,,,,,
Resist going in a backward trajectory,don’t_back,16,,,,,,
Avoid moving back from your current position,don’t_back,16,,,,,,
Don't go rearward,don’t_back,16,,,,,,
Stay where you are or move forward,don’t_back,16,,,,,,
Resist falling back,don’t_back,16,,,,,,
Avoid retracing your steps,don’t_back,16,,,,,,
Don't move towards the back,don’t_back,16,,,,,,
Refrain from drawing back,don’t_back,16,,,,,,
Stay in your current position or move forward,don’t_back,16,,,,,,
Don't move back along the path,don’t_back,16,,,,,,
Avoid stepping away from the forward direction,don’t_back,16,,,,,,
Resist reversing your movement,don’t_back,16,,,,,,
Refrain from retreating from the current position,don’t_back,16,,,,,,
Don't go back,don’t_back,16,,,,,,
Stay in your current position or shift forward,don’t_back,16,,,,,,
Avoid moving to the back,don’t_back,16,,,,,,
Don't pull back,don’t_back,16,,,,,,
Refrain from moving in the opposite direction from the front,don’t_back,16,,,,,,
Avoid retreating to a previous location,don’t_back,16,,,,,,
Don't step in the opposite direction,don’t_back,16,,,,,,
Resist moving in a rearward motion,don’t_back,16,,,,,,
Avoid withdrawing from the front,don’t_back,16,,,,,,
Stay where you are or fall behind,don’t_back,16,,,,,,
Don't take steps backward,don’t_back,16,,,,,,
Resist going in the reverse direction,don’t_back,16,,,,,,
Refrain from retreating from the current point,don’t_back,16,,,,,,
Don't step back from the current position,don’t_back,16,,,,,,
Avoid moving toward the rear,don’t_back,16,,,,,,
Stay in your current position or shift away from the front,don’t_back,16,,,,,,
Don't go in a backward trajectory,don’t_back,16,,,,,,
Resist withdrawing yourself,don’t_back,16,,,,,,
Avoid taking a step away from the forward direction,don’t_back,16,,,,,,
Refrain from moving in the opposite path,don’t_back,16,,,,,,
Avoid retreating along the path,don’t_back,16,,,,,,
Don't step back from the current location,don’t_back,16,,,,,,
Resist going back from the current point,don’t_back,16,,,,,,
Refrain from moving in a rearward direction,don’t_back,16,,,,,,
Avoid drawing away from the front,don’t_back,16,,,,,,
Stay where you are or step backward on the path,don’t_back,16,,,,,,
Avoid retreating to a preceding point,don’t_back,16,,,,,,
Don't move away from the forward trajectory,don’t_back,16,,,,,,
Resist going in the opposite way,don’t_back,16,,,,,,
Avoid retreating to a previous spot,don’t_back,16,,,,,,
Don't move in the direction opposite to forward,don’t_back,16,,,,,,
Stay in your current position or fall back from the current position,don’t_back,16,,,,,,
Refrain from withdrawing to a prior location,don’t_back,16,,,,,,
Avoid taking steps in a backward motion,don’t_back,16,,,,,,
Don't move in the reverse trajectory,don’t_back,16,,,,,,
Resist stepping back to a previous spot,don’t_back,16,,,,,,
Avoid going away from the front,don’t_back,16,,,,,,
Stay in your current position or retreat from the current spot,don’t_back,16,,,,,,
Don't move in a rearward trajectory,don’t_back,16,,,,,,
Resist retreating along the route,don’t_back,16,,,,,,
Avoid shifting backward from the current location,don’t_back,16,,,,,,
Don't step away from the forward trajectory,don’t_back,16,,,,,,
Avoid moving in the opposite course,don’t_back,16,,,,,,
Stay in your current position or withdraw to a preceding point,don’t_back,16,,,,,,
Don't go back from the current place,don’t_back,16,,,,,,
Resist retreating to a former location,don’t_back,16,,,,,,
Avoid moving in a backward path,don’t_back,16,,,,,,
Stay in your present position or step back from the present position,don’t_back,16,,,,,,
Don't go in the reverse course,don’t_back,16,,,,,,
Avoid moving to the rear from the current point,don’t_back,16,,,,,,
Stay in your current position or retreat from the current spot,don’t_back,16,,,,,,
Refrain from withdrawing to a prior spot,don’t_back,16,,,,,,
Don't take steps in the reverse direction,don’t_back,16,,,,,,
Resist moving away from the front direction,don’t_back,16,,,,,,
Avoid retreating along the route taken,don’t_back,16,,,,,,
Stay where you are or step backward on the path traveled,don’t_back,16,,,,,,
Avoid going back to a previous point,don’t_back,16,,,,,,
Don't move in a rearward motion,don’t_back,16,,,,,,
Stay in your current position or retreat to a former point,don’t_back,16,,,,,,
Resist falling back from the present position,don’t_back,16,,,,,,
Avoid withdrawing to a preceding spot,don’t_back,16,,,,,,
Don't take steps in the reverse direction,don’t_back,16,,,,,,
Refrain from moving in the opposite way from forward,don’t_back,16,,,,,,
Avoid retreating along the course traveled,don’t_back,16,,,,,,
Stay in your current position or step back to a former spot,don’t_back,16,,,,,,
Don't go away from the forward trajectory,don’t_back,16,,,,,,
Avoid moving in the reverse path,don’t_back,16,,,,,,
Avoid shifting to the left,don’t_left,17,,,,,,
Refrain from veering toward the left side,don’t_left,17,,,,,,
Don't glide leftward,don’t_left,17,,,,,,
Steer away from a leftward direction,don’t_left,17,,,,,,
Resist moving your position to the left,don’t_left,17,,,,,,
Stay clear of a leftward motion,don’t_left,17,,,,,,
Avoid sliding to the left,don’t_left,17,,,,,,
Don't lean to the left,don’t_left,17,,,,,,
Resist adjusting your course to the left,don’t_left,17,,,,,,
Avoid veering left,don’t_left,17,,,,,,
Refrain from maneuvering towards the left,don’t_left,17,,,,,,
Don't tilt left,don’t_left,17,,,,,,
Avoid directing yourself to the left,don’t_left,17,,,,,,
Resist shifting horizontally to the left,don’t_left,17,,,,,,
Abstain from adjusting your alignment to the left,don’t_left,17,,,,,,
Avoid turning leftward,don’t_left,17,,,,,,
Refrain from guiding your movement to the left,don’t_left,17,,,,,,
Do not head left,don’t_left,17,,,,,,
Stay away from navigating to the left side,don’t_left,17,,,,,,
Avoid offsetting your position to the left,don’t_left,17,,,,,,
Refrain from progressing towards the left,don’t_left,17,,,,,,
Don't veer off to the left,don’t_left,17,,,,,,
Avoid aligning yourself to the left,don’t_left,17,,,,,,
Don't lean in a leftward direction,don’t_left,17,,,,,,
