,x,y
171,light the device system,1
172,turn on the lamp control,1
173,start the device feature,1
174,engage the system power,1
175,turn on the control feature,1
176,fire up the lamp device,1
177,switch on the system power,1
178,set the control lamp on,1
179,turn on the power lamp,1
180,ignite the device feature,1
181,start the system control,1
182,turn on the lamp feature,1
183,power up the function device,1
184,turn on the system device,1
185,switch on the feature lamp,1
186,engage the device control,1
187,turn on the power feature,1
188,fire up the control device,1
189,start the feature system,1
190,turn on the lamp power system,1
191,set the device function power,1
192,turn on the control system device,1
193,ignite the power function system,1
194,switch on the device lamp,1
195,start the system lamp function,1
196,turn on the feature control,1
197,engage the device power system,1
198,turn on the machine feature power,1
199,fire up the light control system,1
200,switch off,2
201,turn off,2
202,deactivate,2
203,power off,2
204,disable,2
205,stop,2
206,extinguish,2
207,shut down,2
208,cut off,2
209,terminate,2
210,disengage,2
211,close,2
212,end,2
213,cease,2
214,halt,2
215,disconnect,2
216,turn out,2
217,kill,2
218,silence,2
219,cut the power,2
220,put out,2
221,block,2
222,suspend,2
223,wind down,2
224,douse,2
225,put to rest,2
226,unplug,2
227,break off,2
228,shut off,2
229,snuff out,2
230,power down,2
231,turn the power off,2
232,hit the off button,2
233,flip the switch off,2
234,deactivate the device,2
235,turn the lights off,2
236,turn off the appliance,2
237,disengage the machine,2
238,set the system off,2
239,cut the power supply,2
240,switch off the mechanism,2
241,stop the engine,2
242,deactivate the equipment,2
243,power off the device,2
244,extinguish the fire,2
245,set the gadget off,2
246,come to a halt,2
247,set off,2
248,turn the dial to off,2
249,press the off button,2
250,deactivate the circuit,2
251,shut off the system,2
252,snuff the light,2
253,stop the motor,2
254,power the system down,2
255,turn off the ignition,2
256,disengage the gears,2
257,set in action,2
258,power off the device,2
259,stop the appliance,2
260,extinguish the flame,2
261,set the apparatus off,2
262,deactivate the function,2
263,turn off the feature,2
264,end operation,2
265,close the system,2
266,stop the program,2
267,turn off the control,2
268,set off the device,2
269,stop the mechanism,2
270,deactivate the machinery,2
271,switch off the light,2
272,turn the machine off,2
273,power down the device,2
274,turn off the gadget,2
275,stop the process,2
276,extinguish the system,2
277,snuff the burner,2
278,turn off the heat,2
279,deactivate the lamp,2
280,power the machine off,2
281,set the engine stopping,2
282,get the system off,2
283,turn the appliance off,2
284,stop the lamp,2
285,turn off the system,2
286,extinguish the torch,2
287,deactivate the controls,2
288,switch the machine off,2
289,turn the power off,2
290,set the light off,2
291,turn the dial off,2
292,disengage the power,2
293,stop the machine,2
294,turn the system off,2
295,switch the appliance off,2
296,snuff the light,2
297,deactivate the device,2
298,turn off the function,2
299,stop the light,2
300,power the device off,2
301,snuff the system,2
302,turn the system stopping,2
303,stop the gadget,2
304,disengage the feature,2
305,turn the light switch off,2
306,extinguish the device,2
307,turn the machine off,2
308,set the power off,2
309,turn the switch off the appliance,2
310,stop the equipment,2
311,turn off the control system,2
312,extinguish the system function,2
313,switch the device off,2
314,power the system,2
315,turn the function off,2
316,snuff the equipment,2
317,deactivate the power,2
318,stop the system stopping,2
319,disengage the lamp,2
320,turn off the feature,2
321,extinguish the lamp function,2
322,switch the function off,2
323,set the light function off,2
324,turn off the machine power,2
325,turn off the device,2
326,stop the control system,2
327,turn off the lamp power,2
328,disengage the function system,2
329,turn off the system function,2
330,power down the machine,2
331,turn off the light system,2
332,set the device function off,2
333,stop the feature,2
334,turn off the power system,2
335,switch off the control,2
336,disengage the device function,2
337,stop the power system,2
338,turn off the light feature,2
339,extinguish the power system,2
340,turn off the control system,2
341,snuff the power feature,2
342,switch off the function system,2
343,set the system power off,2
344,disengage the lamp system,2
345,turn off the control feature,2
346,power the device function,2
347,turn off the light power system,2
348,stop the machine function,2
349,turn off the system feature,2
350,turn off the control lamp,2
351,disengage the feature system,2
352,turn off the light device,2
353,extinguish the machine system,2
354,switch off the feature power,2
355,stop the system device,2
356,turn off the machine lamp,2
357,set the feature power system off,2
358,turn off the lamp device,2
359,disengage the power feature,2
360,turn off the machine control,2
361,turn the device system off,2
362,switch off the lamp function,2
363,power down the system device,2
364,turn off the feature lamp,2
365,snuff the device system,2
366,turn off the lamp control,2
367,stop the device feature,2
368,disengage the system power,2
369,turn off the control feature,2
370,turn off the lamp device,2
371,switch off the system power,2
372,set the control lamp off,2
373,turn off the power lamp,2
374,extinguish the device feature,2
375,stop the system control,2
376,turn off the lamp feature,2
377,power down the function device,2
378,turn off the system device,2
379,switch off the feature lamp,2
380,disengage the device control,2
381,turn off the power feature,2
382,turn off the control device,2
383,stop the feature system,2
384,turn off the lamp power system,2
385,set the device function power off,2
386,turn off the control system device,2
387,extinguish the power function system,2
388,switch off the device lamp,2
389,stop the system lamp function,2
390,turn off the feature control,2
391,disengage the device power system,2
392,turn off the machine feature power,2
393,turn off the light control system,2
394,switch off the function power,2
395,stop the system device function,2
396,turn off the control lamp system,2
397,disengage the device power function,2
398,turn off the machine power function,2
399,extinguish the control system device,2
400,go straight down the road,3
401,proceed in a straight line,3
402,move forward without turning,3
403,continue straight ahead on this path,3
404,head directly down the street,3
405,stay on the straight and narrow,3
406,travel straight without any deviations,3
407,follow the route in a straight line,3
408,maintain your course straight ahead,3
409,move as far as you can see,3
410,proceed straight along the way,3
411,move on the direct path,3
412,keep on the direct path,3
413,continue forward without making any turns,3
414,head straight toward your destination,3
415,stay on the unswerving route,3
416,move straight along the trail,3
417,follow the road without turning left or right,3
418,go ahead without veering off course,3
419,move on the straight and clear route,3
420,continue in a straight trajectory,3
421,head straight down the avenue,3
422,stay true to the straight path,3
423,move directly towards your goal,3
424,move on the straight route,3
425,proceed straightforwardly,3
426,go straight on this thoroughfare,3
427,continue along the straight road,3
428,head straight down the boulevard,3
429,follow the straight line on the map,3
430,move in a straight line without deviation,3
431,stay on the direct course,3
432,go straight down the corridor,3
433,proceed straight through the intersection,3
434,move straight ahead without hesitation,3
435,keep to the straight and clear road,3
436,follow the unbroken line ahead,3
437,maintain your course without deviations,3
438,move straight with confidence,3
439,continue in a straight line without interruptions,3
440,head straight through the city,3
441,stay on the straightforward route,3
442,move directly towards the goal,3
443,go straight past the landmarks,3
444,proceed straight through the urban landscape,3
445,move forward without turning aside,3
446,follow the straight trail ahead,3
447,head straight across the bridge,3
448,stay on the clear path without turning,3
449,move in a straight line through the park,3
450,continue in a straight trajectory,3
451,go straight past the crossroads,3
452,maintain a direct course,3
453,head straight through the neighborhood,3
454,stay true to the straight road,3
455,move directly along the established route,3
456,follow the unswerving path,3
457,go ahead without veering off the straight line,3
458,keep on the undeviating course,3
459,proceed straight along the riverbank,3
460,move directly through the woods,3
461,continue straight without distractions,3
462,head straight past the landmarks,3
463,stay on the direct route without deviation,3
464,move straightforwardly through the countryside,3
465,go straight towards the mountain,3
466,keep on the straight and narrow path,3
467,follow the straight line on the horizon,3
468,head directly to the coastline,3
469,stay on the straight highway,3
470,move in a straight line through the desert,3
471,continue straight across the plains,3
472,go ahead without turning in any direction,3
473,keep to the unswerving trail,3
474,proceed straight along the beach,3
475,head straight through the canyon,3
476,stay true to the straight street,3
477,move directly through the valley,3
478,go straight under the clear sky,3
479,keep on the straight course through the forest,3
480,follow the unbroken line on the map,3
481,maintain your course straight ahead,3
482,move directly along the river,3
483,continue straight across the meadow,3
484,head straight through the wilderness,3
485,stay on the direct path to your destination,3
486,go straight along the seashore,3
487,proceed straightforwardly through the hills,3
488,move forward without detours,3
489,follow the straight track through the city,3
490,head straight past the fields,3
491,stay on the straight road through the countryside,3
492,move directly along the railway tracks,3
493,go straight to your final destination,3
494,proceed in a straight direction,3
495,move forward on the path,3
496,continue forward without deviation,3
497,head directly on the road,3
498,stay on the linear route,3
499,move directly on the straight path,3
500,follow the forward path,3
501,head onward,3
502,move in the forward direction,3
503,proceed along the straight route,3
504,head straight without turning,3
505,keep moving straight,3
506,move forward without deviation,3
507,follow the forward path,3
508,proceed straight on the route,3
509,head directly forward,3
510,move on the straight road,3
511,keep moving directly ahead,3
512,follow the straightforward path,3
513,move forward directly,3
514,head along the straight way,3
515,continue moving forward,3
516,go straight without hesitation,3
517,stay true to the direct path,3
518,proceed on the straight road,3
519,head straight on the route,3
520,move ahead without turning,3
521,follow the forward road,3
522,proceed along the direct path,3
523,head directly on the path,3
524,move straight on the road,3
525,continue along the forward route,3
526,stay on the straightforward road,3
527,head straight without veering,3
528,move directly on the route,3
529,follow the linear path,3
530,move forward without hesitation,3
531,proceed directly on the path,3
532,head onward without deviation,3
533,move in the straightforward direction,3
534,follow the direct road,3
535,proceed straight along the way,3
536,move directly without turning,3
537,head on the straight route,3
538,stay true to the direct course,3
539,move straight along the path,3
540,follow the unswerving road,3
541,proceed directly without turning,3
542,head straight in the direction,3
543,move forward in the path,3
544,continue in the direct line,3
545,head forward without hesitation,3
546,move on the straightforward road,3
547,follow the direct way,3
548,proceed in the forward line,3
549,head along the linear route,3
550,move directly forward,3
551,follow the forward course,3
552,proceed in the direct direction,3
553,head straight along the route,3
554,move along the straightforward path,3
555,follow the forward direction,3
556,proceed in the straight way,3
557,head directly along the path,3
558,move directly on the road,3
559,follow the straight direction,3
560,proceed directly ahead,3
561,head along the forward way,3
562,move directly without deviation,3
563,follow the straightforward line,3
564,proceed on the direct way,3
565,head directly along the road,3
566,move along the linear route,3
567,follow the unswerving path,3
568,proceed in the forward direction,3
569,head directly on the route,3
570,move along the straightforward way,3
571,follow the forward line,3
572,proceed directly along the route,3
573,head directly in the direction,3
574,move along the linear path,3
575,follow the direct direction,3
576,proceed in the straightforward line,3
577,head forward without deviation,3
578,move directly along the way,3
579,follow the straightforward road,3
580,proceed directly on the way,3
581,head along the forward direction,3
582,move in the linear line,3
583,follow the straightforward route,3
584,proceed directly in the direction,3
585,head directly along the line,3
586,move on the direct way,3
587,follow the unswerving direction,3
588,proceed in the forward path,3
589,head directly without hesitation,3
590,move along the linear way,3
591,follow the straightforward course,3
592,proceed on the direct route,3
593,head directly forward,3
594,move in the straight direction,3
595,follow the linear direction,3
596,proceed in the straightforward direction,3
597,head directly along the route,3
598,move on the linear road,3
599,follow the forward way,3
600,move in a rearward motion,4
601,go backward,4
602,retreat,4
603,move rearward,4
604,go in reverse,4
605,backtrack,4
606,reverse your direction,4
607,withdraw,4
608,step back,4
609,regress,4
610,take a step back,4
611,shift to the rear,4
612,reverse course,4
613,retreat backward,4
614,move away from the front,4
615,move in the opposite direction,4
616,step in reverse,4
617,withdrawal,4
618,move towards the rear,4
619,back away,4
620,go in a backward trajectory,4
621,move back from your current position,4
622,go rearward,4
623,fall back,4
624,retrace your steps,4
625,move towards the back,4
626,draw back,4
627,recede,4
628,take a backward step,4
629,move back along the path,4
630,step away from the forward direction,4
631,reverse your movement,4
632,retreat from the current position,4
633,go back,4
634,shift to the back,4
635,move to the rear,4
636,pull back,4
637,move in the opposite direction from the front,4
638,retreat to a previous location,4
639,step in the opposite direction,4
640,move in a rearward motion,4
641,withdraw from the front,4
642,fall behind,4
643,take steps backward,4
644,go in the reverse direction,4
645,retreat from the current point,4
646,step back from the current position,4
647,move toward the rear,4
648,shift away from the front,4
649,go in a backward trajectory,4
650,withdraw yourself,4
651,take a step away from the forward direction,4
652,move in the opposite path,4
653,retreat along the path,4
654,step back from the current location,4
655,go back from the current point,4
656,move in a rearward direction,4
657,draw away from the front,4
658,step backward on the path,4
659,retreat to a preceding point,4
660,move away from the forward trajectory,4
661,go in the opposite way,4
662,retreat to a previous spot,4
663,move in the direction opposite to forward,4
664,fall back from the current position,4
665,withdraw to a prior location,4
666,take steps in a backward motion,4
667,move in the reverse trajectory,4
668,step back to a previous spot,4
669,go away from the front,4
670,retreat from the current spot,4
671,move in a rearward trajectory,4
672,retreat along the route,4
673,shift backward from the current location,4
674,step away from the forward trajectory,4
675,move in the opposite course,4
676,withdraw to a preceding point,4
677,go back from the current place,4
678,retreat to a former location,4
679,move in a backward path,4
680,step back from the present position,4
681,go in the reverse course,4
682,move to the rear from the current point,4
683,retreat from the current spot,4
684,withdraw to a prior spot,4
685,take steps in the opposite direction,4
686,move away from the front direction,4
687,retreat along the route taken,4
688,step backward on the path traveled,4
689,go back to a previous point,4
690,move in a rearward motion,4
691,retreat to a former point,4
692,fall back from the present position,4
693,withdraw to a preceding spot,4
694,take steps in the reverse direction,4
695,move in the opposite way from forward,4
696,retreat along the course traveled,4
697,step back to a former spot,4
698,go away from the forward trajectory,4
699,move in the reverse path,4
700,go in a backward motion,4
701,reverse your steps,4
702,step away from the current position,4
703,retreat from the current trajectory,4
704,move back in the direction you came,4
705,go back along the trail,4
706,withdraw from your current route,4
707,step back from the path,4
708,retrace your steps to the beginning,4
709,reverse your current direction,4
710,move rearward along the path,4
711,retreat to the starting point,4
712,fall back to the previous location,4
713,withdraw from the current direction,4
714,go backward on the same path,4
715,retreat to the original position,4
716,step back along the course,4
717,move rearward along the trajectory,4
718,retract your steps,4
719,go back from the point of departure,4
720,withdraw along the same route,4
721,step backward from the current spot,4
722,move back to the previous mark,4
723,go in reverse along the path,4
724,retreat to the earlier position,4
725,fall back along the route,4
726,move rearward from the current location,4
727,step backward along the trail,4
728,retrace your way to the start,4
729,withdraw from the current path,4
730,move in the opposite direction from where you came,4
731,step back along the line of travel,4
732,retreat from your current course,4
733,move rearward to the initial point,4
734,go back along the same way,4
735,withdraw to the beginning,4
736,retrace your movements,4
737,step back from the original route,4
738,move back in a reverse line,4
739,go backward along the traveled path,4
740,retreat to your prior spot,4
741,move in a backward direction along the trail,4
742,step back from where you are,4
743,withdraw to the original point of travel,4
744,move in the reverse way along the trajectory,4
745,retract your steps back to the starting point,4
746,step backward in the path,4
747,move back to your starting location,4
748,go in reverse along the traveled way,4
749,retreat to the initial spot,4
750,move rearward in the same path,4
751,step back along the trajectory,4
752,withdraw from the path taken,4
753,move in the opposite direction of your travel,4
754,go back from your current spot,4
755,retrace your movements to the starting point,4
756,step back from your current location,4
757,move in reverse along the line of travel,4
758,retreat to the point of origin,4
759,move rearward along the traveled way,4
760,step back in the same direction,4
761,withdraw to where you began,4
762,move in the backward direction along the path,4
763,retrace your steps to the point of departure,4
764,go back along the trail,4
765,step back to your original point,4
766,move rearward from your current trajectory,4
767,withdraw to the initial travel spot,4
768,move in the reverse direction from where you are,4
769,go back to the beginning of the path,4
770,retrace your steps from your current spot,4
771,step back along the route taken,4
772,move rearward along the traveled path,4
773,withdraw to the start of your journey,4
774,move in the opposite direction of your current path,4
775,go back along the way you came,4
776,step back to the initial point,4
777,move rearward to your starting position,4
778,retrace your steps along the traveled course,4
779,withdraw from the current line of travel,4
780,move in the reverse way back,4
781,go back to where you started,4
782,step back from your travel point,4
783,move rearward along the course taken,4
784,retract your steps from the current path,4
785,withdraw to your beginning spot,4
786,move in the opposite direction along the journey,4
787,go back from your location,4
788,step back along the traveled direction,4
789,move rearward from the point of travel,4
790,retrace your steps from your route,4
791,withdraw from the current travel direction,4
792,move in the reverse direction to the beginning,4
793,go back to your original travel spot,4
794,step back to the start of the path,4
795,move rearward in the line of travel,4
796,retract your steps to the point of origin,4
797,withdraw from the traveled path,4
798,move in the opposite direction from the starting point,4
799,go back along the route,4
800,step back from your current travel spot,4
801,move rearward along the journey,4
802,retrace your steps along the traveled route,4
803,withdraw to your original travel location,4
804,move in the reverse way from the point of travel,4
805,go back from your journey spot,4
806,step back along the course,4
807,move rearward from the starting point,4
808,retrace your steps to the initial location,4
809,withdraw from the path traveled,4
810,move in the opposite direction from your journey,4
811,go back to the starting mark,4
812,step back to your original location,4
813,move rearward along the traveled journey,4
814,retract your steps from the travel route,4
815,withdraw to your point of origin,4
816,move in the reverse direction of the journey,4
817,go back along the course taken,4
818,step back from the traveled line,4
819,move rearward from the travel point,4
820,retrace your steps to the journey start,4
821,withdraw from the traveled journey,4
822,move in the opposite direction along the traveled path,4
823,go back to the beginning of the travel,4
824,step back to your original journey mark,4
825,move rearward in the line traveled,4
826,retract your steps from the journey point,4
827,withdraw to the start of your journey,4
828,move in the reverse way from the travel,4
829,go back from the journey mark,4
830,step back along the traveled route,4
831,move rearward from your journey location,4
832,retrace your steps to the travel origin,4
833,withdraw from your journey point,4
834,move in the opposite direction from your journey path,4
835,go back to the original travel path,4
836,step back to the start of the journey,4
837,move rearward in the traveled direction,4
838,retract your steps from the original travel path,4
839,withdraw to the point of departure,4
840,move in the reverse way along the travel line,4
841,go back from the journey start,4
842,step back along the original travel direction,4
843,move rearward from the initial journey point,4
844,retrace your steps to the original path,4
845,withdraw from the journey course,4
846,move in the opposite direction from the original travel,4
847,go back to the journey's beginning,4
848,step back to your starting point,4
849,move rearward in the travel direction,4
850,retract your steps from the journey's origin,4
851,withdraw to the original travel spot,4
852,move in the reverse direction from your travel origin,4
853,go back along the journey's path,4
854,step back from your starting journey point,4
855,move rearward along the journey's direction,4
856,retrace your steps from the travel's origin,4
857,withdraw from the journey's path taken,4
858,move in the opposite direction along the traveled journey,4
859,go back to the original journey's start,4
860,step back to your point of origin,4
861,move rearward along the travel's path,4
862,retract your steps from the journey's direction,4
863,withdraw to the journey's starting point,4
864,move in the reverse way along the journey's route,4
865,go back from the starting point of your journey,4
866,step back along the journey's traveled path,4
867,move rearward from the journey's start,4
868,retrace your steps from the journey's traveled direction,4
869,withdraw from the original journey's route,4
870,move in the opposite direction from your journey's origin,4
871,go back to your journey's start point,4
872,step back to the journey's beginning,4
873,move rearward in the journey's line,4
874,retract your steps from the journey's initial path,4
875,withdraw to the journey's point of travel,4
876,move in the reverse direction from the traveled journey,4
877,go back from the travel's starting point,4
878,step back along the traveled journey's direction,4
879,move rearward from the journey's traveled route,4
880,retrace your steps to the journey's traveled origin,4
881,withdraw from the journey's traveled direction,4
882,move in the opposite direction from the journey's traveled path,4
883,go back to the starting point of the journey,4
884,step back to your travel's origin,4
885,move rearward along the journey's line,4
886,retract your steps from the traveled journey's path,4
887,withdraw to the beginning of the journey,4
888,move in the reverse direction along the journey's path,4
889,go back from your travel's start point,4
890,step back along the path of travel,4
891,move rearward from the original travel's point,4
892,retrace your steps from the journey's traveled path,4
893,withdraw from the traveled journey's route,4
894,move in the opposite direction from the journey's travel point,4
895,go back to the original starting point of the journey,4
896,step back to the travel's starting point,4
897,move rearward along the journey's travel line,4
898,retract your steps from the traveled journey's origin,4
899,withdraw to the travel's point of departure,4
900,move in the reverse direction from the journey's travel route,4
901,go back from your journey's travel start,4
902,step back along the travel's journey path,4
903,move rearward from the travel's journey start point,4
904,retrace your steps from the travel's journey path,4
905,withdraw from the traveled journey's origin,4
906,move in the opposite direction from the travel's origin,4
907,go back to the journey's initial point,4
908,step back to the travel's departure point,4
909,move rearward along the journey's origin line,4
910,retract your steps from the travel's journey direction,4
911,withdraw to the journey's travel start,4
912,move in the reverse direction from the travel's journey,4
913,go back from the journey's travel origin,4
914,step back along the journey's travel origin path,4
915,move rearward from the journey's travel departure point,4
916,retrace your steps from the traveled journey's direction,4
917,withdraw from the travel's journey departure point,4
918,move in the opposite direction from the travel's journey,4
919,go back to the initial travel's journey start,4
920,step back to the journey's travel origin point,4
921,move rearward along the travel's journey line,4
922,retract your steps from the journey's travel path,4
923,withdraw to the traveled journey's starting point,4
924,move in the reverse direction from the travel's journey origin,4
925,go back from the journey's travel start point,4
926,step back along the travel's journey route,4
927,move rearward from the traveled journey's starting point,4
928,retrace your steps from the travel's origin,4
929,withdraw from the traveled journey's start point,4
930,move in the opposite direction from the traveled journey's line,4
931,go back to the journey's departure point,4
932,step back to the travel's point of travel,4
933,move rearward along the traveled journey's route,4
934,retract your steps from the journey's travel origin,4
935,withdraw to the traveled journey's point of origin,4
936,move in the reverse direction from the journey's travel start,4
937,go back from the initial point of travel,4
938,step back along the travel's point of departure,4
939,move rearward from the travel's departure point,4
940,retrace your steps from the journey's point of travel,4
941,withdraw from the travel's point of departure,4
942,move in the opposite direction from the travel's departure,4
943,go back to the point of travel's origin,4
944,step back to the travel's initial starting point,4
945,move rearward along the departure path,4
946,retract your steps from the travel's departure path,4
947,withdraw to the travel's original start,4
948,move in the reverse direction from the departure point,4
949,go back from the departure start point,4
950,step back along the initial departure route,4
951,move rearward from the departure travel point,4
952,retrace your steps from the departure point of travel,4
953,withdraw from the initial departure point,4
954,move in the opposite direction from the initial departure,4
955,go back to the departure's origin,4
956,step back to the departure's starting point,4
957,move rearward along the initial departure route,4
958,retract your steps from the departure's point of travel,4
959,withdraw to the departure's start point,4
960,move in the reverse direction from the departure travel point,4
961,go back from the initial travel's point of departure,4
962,step back along the departure travel path,4
963,move rearward from the departure travel origin,4
964,retrace your steps from the departure travel point,4
965,withdraw from the departure travel start,4
966,move in the opposite direction from the departure travel path,4
967,go back to the departure travel origin,4
968,step back to the initial departure travel path,4
969,move rearward along the departure travel point,4
970,retract your steps from the departure travel route,4
971,withdraw to the departure travel's point of travel,4
972,move in the reverse direction from the departure travel's start,4
973,go back from the departure travel's origin point,4
974,step back along the departure travel's origin path,4
975,move rearward from the departure travel's point of travel,4
976,retrace your steps from the departure travel's route,4
977,withdraw from the departure travel's origin point,4
978,move in the opposite direction from the departure travel's path,4
979,go back to the departure travel's initial point,4
980,step back to the departure travel's starting point,4
981,move rearward along the departure travel's point of origin,4
982,retract your steps from the departure travel's start,4
983,withdraw to the departure travel's route,4
984,move in the reverse direction from the departure travel's route,4
985,go back from the departure travel's initial point,4
986,step back along the departure travel's point of origin,4
987,move rearward from the departure travel's starting point,4
988,retrace your steps from the departure travel's point of origin,4
989,withdraw from the departure travel's initial starting point,4
990,move in the opposite direction from the departure travel's starting point,4
991,go back to the departure travel's initial travel point,4
992,step back to the departure travel's initial point of origin,4
993,move rearward along the departure travel's starting path,4
994,retract your steps from the departure travel's route of origin,4
995,withdraw to the departure travel's point of start,4
996,move in the reverse direction from the departure travel's origin path,4
997,go back from the departure travel's start path,4
998,step back along the departure travel's route of travel,4
999,move rearward from the departure travel's initial route,4
1000,retrace your steps from the departure travel's point of route,4
1001,withdraw from the departure travel's starting route,4
1002,move in the opposite direction from the departure travel's starting route,4
1003,go back to the departure travel's initial route of origin,4
1004,step back to the departure travel's route of travel,4
1005,move rearward along the departure travel's initial route of origin,4
1006,retract your steps from the departure travel's route of travel,4
1007,withdraw to the departure travel's route of start,4
1008,move in the reverse direction from the departure travel's route of travel,4
1009,go back from the departure travel's starting route,4
1010,step back along the departure travel's route of travel origin,4
1011,move rearward from the departure travel's route of origin,4
1012,retrace your steps from the departure travel's route of starting,4
1013,withdraw from the departure travel's route of starting point,4
1014,move in the opposite direction from the departure travel's route of origin,4
1015,go back to the departure travel's route of starting point,4
1016,step back to the departure travel's route of initial travel,4
1017,move rearward along the departure travel's route of initial travel,4
1018,retract your steps from the departure travel's route of initial travel,4
1019,withdraw to the departure travel's route of initial travel origin,4
1020,move in the reverse direction from the departure travel's route of initial travel,4
1021,go back from the departure travel's route of initial travel start,4
1022,step back along the departure travel's route of initial travel path,4
1023,move rearward from the departure travel's route of initial travel path,4
1024,retrace your steps from the departure travel's route of initial travel path,4
1025,withdraw from the departure travel's route of initial travel path origin,4
1026,move in the opposite direction from the departure travel's route of initial travel origin,4
1027,go back to the departure travel's route of initial travel path,4
1028,step back to the departure travel's route of initial travel point,4
1029,move rearward along the departure travel's route of initial travel route,4
1030,retract your steps from the departure travel's route of initial travel point,4
1031,withdraw to the departure travel's route of initial travel route,4
1032,move in the reverse direction from the departure travel's route of initial travel route,4
1033,go back from the departure travel's route of initial travel route,4
1034,step back along the departure travel's route of initial travel path,4
1035,move rearward from the departure travel's route of initial travel route,4
1036,retrace your steps from the departure travel's route of initial travel origin,4
1037,withdraw from the departure travel's route of initial travel point,4
1038,move in the opposite direction from the departure travel's route of initial travel origin,4
1039,go back to the departure travel's route of initial travel point,4
1040,step back to the departure travel's route of initial travel starting point,4
1041,move rearward along the departure travel's route of initial travel starting point,4
1042,retract your steps from the departure travel's route of initial travel starting path,4
1043,withdraw to the departure travel's route of initial travel starting path,4
1044,move in the reverse direction from the departure travel's route of initial travel starting path,4
1045,go back from the departure travel's route of initial travel starting point,4
1046,step back along the departure travel's route of initial travel starting path,4
1047,move rearward from the departure travel's route of initial travel starting path,4
1048,retrace your steps from the departure travel's route of initial travel starting point,4
1049,withdraw from the departure travel's route of initial travel starting path,4
1050,move in the opposite direction from the departure travel's route of initial travel starting path,4
1051,go back to the departure travel's route of initial travel starting path,4
1052,step back to the departure travel's route of initial travel starting point,4
1053,move rearward along the departure travel's route of initial travel starting point,4
1054,retract your steps from the departure travel's route of initial travel starting path,4
1055,withdraw to the departure travel's route of initial travel starting path,4
